person_id,name,alias,dob,case_id
P001,Cristian Santos,Amy,1960-09-08,"C001,C002,C003"
P002,Donald Booth,Katherine,1956-07-20,C004
P003,Gina Moore,,1997-08-22,C002
P004,Brandon Davis,Melanie,1986-10-08,C009
P005,Andrew Stevens,,1954-03-07,C007
P006,Jamie Arnold,,2002-02-15,C002
P007,Stacey Ward,,1958-10-09,C009
P008,Amber Perez,Keith,1951-02-12,C009
P009,Sharon James,,1976-07-16,C009
P010,Holly Wood,,1959-12-11,"C004,C005"
P011,Mia Sutton,Charles,1988-11-23,C001
P012,Nicholas Martin,Noah,2008-08-28,C003
P013,Kristin Cohen,Megan,1998-06-29,C006
P014,Rodney Trujillo,,1972-12-26,C004
P015,Daniel Hahn,Nancy,1967-02-06,C006
P016,Jonathan Wilkerson,,1989-06-07,C007
P017,Derek Wright,,1983-11-20,C006
P018,Nicole Patterson,Brandy,1970-04-27,C001
P019,Zachary Hicks,Christopher,1948-11-22,C009
P020,Brittany Moore,,1991-12-29,C007
P021,Arthur James,,1977-07-15,C005
P022,Tricia Valencia,Alexander,1994-09-24,C010
P023,Stephen Potter,Kayla,1968-11-01,C006
P024,Jeffrey Chavez,Stephanie,2005-04-15,C002
P025,Valerie Gill,,1980-03-26,C004
P026,Sheila Evans,Danielle,1987-02-16,C002
P027,James Martin,Stephanie,2008-06-16,C002
P028,April Nguyen,,1947-01-05,C008
P029,Jack Galloway,Lindsay,1961-12-24,C006
P030,Shawn Arroyo,,1951-07-07,C006
P031,Rose Spence,,1981-12-08,C005
P032,Betty Alvarez,Andrea,1963-09-22,C002
P033,Lisa Brandt,Sarah,1997-01-30,C003
P034,Christina Collins,Wanda,1989-11-28,C004
P035,Steven Hayes,,1962-07-22,C007
